name,bus0,bus1,r,x,b,s_nom,s_max_pu,length,num_parallel
6,AZ0 0,UT0 1,32.19554339759037,126.23362555518868,4.676621719154826e-05,201.1777012991251,1.0,604.4226429132699,0.5
7,AZ0 1,AZ0 3,5.164165951060551,77.71983012237209,1.3586579423745224e-05,1901.4905604832238,1.0,258.98801511953104,4.725897920604915
8,AZ0 1,AZ0 4,1.0169727200111607,5.987282511010965,8.997155767666404e-05,2404.4348137310367,1.0,190.07500536358646,5.975897920604915
9,AZ0 1,AZ0 5,3.101449226480036,28.021498488184456,3.251950136778151e-05,2102.668261782349,0.9999999999999999,239.28488190872906,5.225897920604915
10,AZ0 2,AZ0 4,0.6725183135992012,5.633376558326388,0.0001449122083244074,8958.302328548565,1.0,227.00898031913005,22.264650283553877
11,AZ0 2,NM0 0,5.126353445159522,42.95423016808509,0.00010437023610690844,2203.2571124319115,0.9999999999999999,548.827859921428,5.475897920604915
12,AZ0 3,AZ0 5,36.826563616866416,154.81074448573426,1.9377640215553827e-05,100.58885064956254,1.0,427.11670950312856,0.25
13,AZ0 3,NV0 0,4.98920464540472,133.4319579803434,1.58892237249153e-05,4451.199253035179,1.0,404.46933570546923,11.062854442344046
14,AZ0 3,UT0 0,3.6060362640854993,27.346434545329785,0.00014270072461548648,2496.9765563286337,1.0000000000000002,497.51531630706614,6.205897920604915
15,AZ0 4,AZ0 5,3.5728815170623442,30.230583570393442,3.9255530012326904e-05,2102.668261782349,0.9999999999999999,283.1336273285152,5.225897920604915
16,AZ0 4,CA_150 0,6.028741166332553,156.03633386635246,2.0726840955181964e-05,4451.199253035179,1.0,445.23100771780037,11.062854442344046
17,AZ0 5,CA_150 0,1.468495451950532,22.480427614888708,4.157587069784059e-05,5601.935704466174,1.0000000000000002,240.78103649850232,13.922854442344045
18,AZ0 5,NV0 0,2.256940972675,14.42347248522045,0.00011114422218085155,2303.845963081474,1.0,266.65129426338166,5.725897920604915
19,AZ0 5,US0 0,6.930667482822115,49.43827717246533,0.0005898410572505476,2505.0236643805993,0.9999999999999999,1241.1399391883012,6.225897920604915
20,CA_10 0,CA_110 0,4.387225125684879,128.72154042849525,1.4949462643384149e-05,4451.199253035179,1.0,285.83601184088525,11.062854442344046
21,CA_10 0,CA_160 8,14.349787661787385,104.16030707969855,6.6054739437022044e-06,144.84794493537007,1.0,173.06051293303375,0.36
22,CA_10 0,CA_20 0,2.489435883333697,16.678930642477283,9.270838926936837e-05,1629.5393805229132,1.0,312.2424607759573,4.05
23,CA_10 0,OR0 2,4.679294578484729,33.600167578271865,6.36382785178583e-05,1194.995545716803,1.0,368.4946300399646,2.9699999999999998
24,CA_10 0,US0 0,1.047907219484884,9.314730839865637,0.0,3150.442802344299,1.0,271.4952377964467,7.83
25,CA_100 0,CA_100 1,0.9323556133324268,6.34406460518492,4.651126770826458e-05,1629.5393805229137,1.0,136.8523221107245,4.05
26,CA_100 0,CA_140 0,11.996914015188542,67.41490219232392,1.4273199974837105e-05,144.84794493537007,1.0,241.397019669926,0.36
27,CA_100 0,CA_150 0,0.562582900635486,7.782738305239221,4.227453150801931e-05,10097.39405178716,1.0,141.49934321383662,25.095708884688094
28,CA_100 0,CA_160 12,4.554465324296339,26.293280674349024,1.1801561795276648e-05,144.84794493537007,1.0,134.4104240149669,0.36
29,CA_100 0,CA_70 0,0.03320783825510963,0.2475758203554738,4.956222808423864e-05,13504.195811495809,1.0,25.273919589387393,33.56285444234404
30,CA_100 1,CA_140 0,1.0557119171314668,17.106248524535125,1.0075954489052625e-05,4596.047197970549,1.0,105.73496545595304,11.422854442344045
31,CA_100 1,CA_150 0,0.6553191166375588,9.94043570451179,6.16519653832415e-05,11002.693707633225,0.9999999999999998,185.8314106491417,27.345708884688094
32,CA_100 1,CA_160 12,2.4511325129978836,12.052789974426478,7.126131270913208e-06,289.69588987074013,1.0,78.80372457596049,0.72
33,CA_100 1,CA_160 6,0.1414366360406063,0.8582902977535855,4.188368733976829e-05,2788.322940005873,1.0000000000000002,42.63813367257952,6.9300000000000015
34,CA_100 1,CA_70 0,2.7837170235758446,14.364953074929014,2.883182062761882e-05,289.69588987074013,1.0,149.03104646137317,0.72
35,CA_100 1,CA_80 1,0.3274142580193615,1.971148176535206,3.5290447673933144e-05,1919.2352703936535,1.0,57.75143128782324,4.77
36,CA_100 1,CA_90 1,0.2440697045023841,2.491603881048293,4.54095771593947e-05,8036.185890185588,1.0000000000000002,72.67185391097884,19.972854442344044
37,CA_110 0,CA_120 1,0.1833336479577683,1.5318036627820037,0.0002598928299202357,19147.515556520342,0.9999999999999998,151.38361227950352,47.58856332703213
38,CA_110 0,CA_120 2,1.3531454767028859,18.144066817410906,3.9530700195158035e-05,5501.346853816612,1.0,221.61888932551432,13.672854442344045
39,CA_110 0,CA_160 1,1.4209425911291889,10.25370382895585,4.652321532648331e-05,1339.8434906521732,1.0,157.82847333248793,3.33
40,CA_110 0,CA_160 3,1.5273469499910053,12.750557400689454,5.9335303659949033e-05,2100.295201562866,0.9999999999999999,217.6684204899945,5.22
41,CA_110 0,CA_160 5,0.28605691066754113,2.0038806922172956,4.323006551229082e-05,3440.1386922150396,0.9999999999999998,75.86009619196516,8.55
42,CA_110 0,CA_160 8,3.044871673767519,18.575574266000086,5.817178991607015e-05,1194.995545716803,1.0,257.6290809088027,2.9699999999999998
43,CA_110 0,CA_20 0,1.7741817312305639,52.728087183810466,9.062047182268474e-06,4451.199253035179,1.0,172.45777174436253,11.062854442344046
44,CA_110 0,NV0 1,17.653055525123964,49.564348205155746,7.41433834758068e-06,4451.199253035179,1.0,244.5830746810022,11.062854442344046
45,CA_110 0,OR0 2,1.3555210817018917,32.90132246138248,0.00013783532931845613,17949.644957076085,1.0000000000000002,509.6829873812993,44.61141776937618
46,CA_120 0,CA_120 1,0.8333094906453777,9.628370026191867,3.500186749823733e-05,5646.194798751982,1.0,145.53248805324898,14.032854442344044
47,CA_120 0,CA_120 2,0.6421949416668837,3.8851052293779107,7.508116366956204e-05,1919.2352703936535,1.0,127.9112435446229,4.77
48,CA_120 0,CA_130 0,1.378320898620093,17.507231827441547,5.780945691515747e-05,5791.042743687352,1.0,245.67965228420292,14.392854442344046
49,CA_120 0,CA_160 9,1.3368237658290223,9.878585978843102,2.157996545134725e-05,1194.995545716803,1.0,112.70386014672285,2.9699999999999998
50,CA_120 0,CA_40 0,0.9938529080410957,6.690268324417153,3.640768202406858e-05,1484.6914355875433,1.0,124.01122425842331,3.69
51,CA_120 1,CA_120 2,0.24765660790802246,2.049779381331299,7.601488232529771e-05,10350.877955424061,0.9999999999999997,94.39348781702296,25.72570888468809
52,CA_120 1,CA_160 1,0.8464533884654972,4.395060950182024,4.410063182983887e-05,579.3917797414803,1.0,105.612591627232,1.44
53,CA_120 1,CA_160 5,4.37795275013025,49.30796550902511,1.5404814592066245e-05,905.2996558460629,1.0,193.8788631545212,2.25
54,CA_120 1,CA_30 0,3.2013129329481846,31.45457389306369,1.2780664630854643e-05,905.2996558460629,1.0,165.9378488114066,2.25
55,CA_120 2,CA_20 0,0.5431372975594086,5.086993352592782,6.691554614545658e-05,6080.738633558091,1.0000000000000002,131.53213424641476,15.112854442344043
56,CA_120 2,CA_30 0,0.09013702745299737,0.7735919670885564,0.00013462821812044483,14156.011563704975,1.0,71.71365778215329,35.182854442344045
