1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
106,699,3125,2155,377,3882,2052,2379,4548,2007,782,4044,3397,1584,247,673,0,0,0,0,0,0
109,736,3133,2180,367,3908,2085,2436,4707,2044,786,4050,3413,1629,257,678,0,0,0,0,0,0
120,714,3120,2166,358,3915,2059,2488,4803,2110,776,3997,3406,1633,263,675,0,0,0,0,0,0
105,688,3091,2135,357,3964,2071,2493,4937,2157,765,3959,3383,1656,276,674,0,0,0,0,0,0
113,691,3075,2125,359,4066,2069,2575,5127,2225,766,3974,3376,1690,296,679,0,0,0,0,0,0
109,662,2989,2099,359,4102,2068,2646,5362,2265,733,3899,3335,1722,299,682,0,0,0,0,0,0
103,649,2978,2093,360,4183,2068,2700,5632,2343,730,3862,3329,1779,315,678,0,0,0,0,0,0
108,694,3057,2128,377,4196,2098,2713,5522,2379,761,3945,3359,1783,322,682,0,0,0,0,0,0
120,728,3216,2181,388,4214,2149,2747,5516,2367,810,4041,3451,1750,324,688,0,0,0,0,0,0
129,826,3409,2273,416,4336,2275,2850,5579,2480,856,4244,3572,1779,330,708,0,0,0,0,0,0
136,842,3623,2357,414,4435,2322,2948,5691,2557,898,4396,3633,1813,333,717,0,0,0,0,0,0
138,851,3662,2360,425,4478,2361,2957,5652,2554,924,4444,3642,1798,327,719,0,0,0,0,0,0
130,837,3574,2334,414,4344,2298,2805,5366,2405,913,4360,3585,1742,306,708,0,0,0,0,0,0
119,759,3278,2215,390,4083,2183,2572,4940,2177,840,4127,3442,1657,275,688,0,0,0,0,0,0
104,679,2937,2080,347,3730,2013,2265,4410,1888,743,3810,3308,1530,235,650,0,0,0,0,0,0
92,571,2721,1964,326,3497,1875,2064,4022,1682,665,3573,3167,1458,201,622,0,0,0,0,0,0
87,547,2621,1925,311,3414,1820,1995,3875,1606,640,3482,3120,1444,196,617,0,0,0,0,0,0
85,542,2583,1922,312,3388,1801,1980,3811,1596,627,3465,3090,1427,193,613,0,0,0,0,0,0
85,548,2574,1912,307,3382,1800,1972,3795,1590,629,3456,3087,1427,192,615,0,0,0,0,0,0
86,550,2583,1915,307,3389,1810,1978,3799,1612,633,3469,3086,1429,194,617,0,0,0,0,0,0
87,558,2603,1935,310,3418,1825,2000,3845,1647,651,3503,3108,1444,199,621,0,0,0,0,0,0
91,584,2677,1970,321,3492,1851,2064,3957,1707,658,3611,3148,1476,208,631,0,0,0,0,0,0
100,646,2856,2054,340,3684,1966,2241,4224,1865,715,3773,3244,1535,228,654,0,0,0,0,0,0
107,682,3022,2129,352,3767,2028,2337,4422,1960,753,3905,3316,1572,248,669,0,0,0,0,0,0
120,705,3099,2160,370,3857,2053,2386,4520,2025,783,4022,3372,1593,256,676,0,0,0,0,0,0
121,716,3122,2169,376,3911,2064,2426,4676,2071,799,4049,3424,1614,262,682,0,0,0,0,0,0
112,720,3106,2152,371,3943,2055,2465,4796,2067,784,4008,3426,1621,258,681,0,0,0,0,0,0
115,708,3058,2113,362,3967,2071,2532,4923,2059,780,3953,3390,1645,254,682,0,0,0,0,0,0
114,700,3041,2122,370,4047,2124,2635,5208,2136,759,3930,3381,1720,253,679,0,0,0,0,0,0
104,673,2969,2111,366,4026,2139,2613,5126,2188,756,3863,3351,1718,251,679,0,0,0,0,0,0
101,670,2979,2096,362,4032,2144,2602,5106,2229,739,3877,3336,1727,248,680,0,0,0,0,0,0
115,697,3033,2120,371,4087,2153,2632,5139,2206,763,3940,3377,1721,257,680,0,0,0,0,0,0
119,743,3235,2179,379,4136,2194,2659,5128,2244,820,4029,3468,1705,279,684,0,0,0,0,0,0
127,811,3432,2278,394,4295,2272,2808,5356,2361,870,4253,3572,1748,299,705,0,0,0,0,0,0
135,835,3574,2329,412,4431,2332,2910,5554,2485,929,4416,3624,1782,317,715,0,0,0,0,0,0
139,859,3656,2397,421,4469,2352,2915,5573,2503,948,4434,3651,1780,315,722,0,0,0,0,0,0
140,862,3579,2361,421,4351,2313,2806,5371,2387,921,4316,3593,1731,305,707,0,0,0,0,0,0
125,763,3290,2230,397,4095,2181,2579,4926,2174,849,4116,3461,1637,275,681,0,0,0,0,0,0
103,653,2974,2075,345,3728,2010,2275,4386,1879,757,3819,3297,1535,241,652,0,0,0,0,0,0
96,574,2718,1959,313,3484,1861,2064,3991,1674,662,3602,3156,1454,207,629,0,0,0,0,0,0
92,552,2621,1921,304,3413,1808,2003,3851,1609,628,3517,3108,1427,194,618,0,0,0,0,0,0
86,536,2575,1911,302,3384,1809,1967,3809,1596,620,3501,3094,1422,192,614,0,0,0,0,0,0
85,533,2570,1911,302,3372,1797,1955,3809,1584,619,3501,3086,1433,191,616,0,0,0,0,0,0
86,535,2572,1912,304,3384,1791,1968,3804,1589,622,3505,3087,1429,193,616,0,0,0,0,0,0
88,543,2593,1927,308,3401,1805,1977,3830,1616,633,3534,3104,1440,197,619,0,0,0,0,0,0
90,559,2654,1952,319,3430,1836,2012,3905,1663,651,3590,3133,1454,204,627,0,0,0,0,0,0
94,591,2767,2000,327,3532,1885,2100,4081,1747,688,3710,3191,1488,220,642,0,0,0,0,0,0
101,651,2944,2090,346,3698,1981,2244,4331,1860,737,3868,3292,1537,234,652,0,0,0,0,0,0
111,701,3113,2168,367,3871,2093,2405,4662,2067,800,4033,3422,1603,261,674,0,0,0,0,0,0
114,776,3227,2236,377,4052,2160,2535,4832,2164,841,4163,3489,1646,278,687,0,0,0,0,0,0
118,759,3257,2227,381,4072,2178,2565,4972,2213,840,4145,3479,1675,282,689,0,0,0,0,0,0
118,752,3247,2219,384,4132,2166,2644,5210,2237,832,4076,3468,1706,284,695,0,0,0,0,0,0
118,752,3225,2191,390,4197,2209,2729,5348,2349,818,4076,3452,1722,303,691,0,0,0,0,0,0
112,730,3158,2181,393,4238,2189,2728,5396,2395,791,3997,3418,1756,297,694,0,0,0,0,0,0
116,695,3136,2170,390,4255,2180,2811,5537,2408,772,4009,3441,1786,312,682,0,0,0,0,0,0
116,740,3214,2188,388,4270,2216,2809,5518,2454,815,4062,3486,1786,324,695,0,0,0,0,0,0
118,777,3300,2245,386,4291,2238,2802,5429,2440,853,4197,3545,1778,316,704,0,0,0,0,0,0
134,806,3462,2326,401,4373,2323,2887,5490,2500,885,4334,3599,1792,324,719,0,0,0,0,0,0
137,835,3638,2376,427,4496,2385,2976,5667,2543,928,4474,3669,1809,320,731,0,0,0,0,0,0
140,867,3731,2420,428,4532,2373,2997,5641,2541,936,4482,3681,1798,318,728,0,0,0,0,0,0
134,833,3592,2390,417,4388,2301,2840,5414,2431,896,4394,3615,1748,307,717,0,0,0,0,0,0
120,752,3342,2280,388,4116,2168,2617,4996,2225,826,4174,3510,1662,277,693,0,0,0,0,0,0
105,662,3017,2103,353,3797,1994,2326,4485,1926,724,3841,3319,1548,238,662,0,0,0,0,0,0
95,570,2717,1980,313,3509,1874,2081,4042,1689,662,3590,3177,1464,209,627,0,0,0,0,0,0
93,539,2610,1937,305,3411,1805,2001,3888,1620,640,3513,3117,1437,196,623,0,0,0,0,0,0
87,530,2562,1925,305,3395,1787,1977,3833,1595,623,3462,3095,1431,194,617,0,0,0,0,0,0
84,529,2557,1915,299,3377,1767,1962,3815,1595,623,3458,3094,1428,196,617,0,0,0,0,0,0
84,528,2558,1921,300,3371,1770,1966,3819,1595,628,3465,3101,1431,196,618,0,0,0,0,0,0
86,538,2584,1930,303,3388,1784,1980,3849,1626,634,3492,3115,1443,200,621,0,0,0,0,0,0
88,553,2625,1954,310,3429,1807,2013,3916,1674,650,3548,3141,1463,206,630,0,0,0,0,0,0
96,590,2717,1999,320,3531,1861,2105,4073,1781,687,3641,3214,1506,217,641,0,0,0,0,0,0
103,642,2908,2076,340,3694,1967,2250,4332,1905,741,3805,3289,1560,237,663,0,0,0,0,0,0
111,713,3106,2162,361,3900,2074,2456,4629,2066,788,3982,3415,1604,263,673,0,0,0,0,0,0
117,750,3255,2228,385,4044,2130,2578,4824,2157,818,4153,3474,1648,267,693,0,0,0,0,0,0
111,779,3329,2222,376,4075,2198,2647,4819,2183,841,4127,3501,1651,278,689,0,0,0,0,0,0
121,759,3228,2194,392,4089,2205,2652,4874,2209,825,4107,3466,1646,293,683,0,0,0,0,0,0
121,731,3201,2192,406,4148,2247,2670,4980,2271,820,4106,3456,1681,280,686,0,0,0,0,0,0
110,718,3139,2174,388,4121,2313,2683,5013,2323,798,4036,3411,1682,292,682,0,0,0,0,0,0
118,711,3138,2170,362,4152,2372,2713,5005,2364,790,3989,3409,1669,297,684,0,0,0,0,0,0
126,757,3196,2174,369,4160,2385,2735,5052,2379,813,4046,3453,1696,306,686,0,0,0,0,0,0
128,792,3336,2247,383,4222,2317,2747,5101,2349,835,4175,3523,1718,301,694,0,0,0,0,0,0
129,812,3491,2313,416,4360,2319,2849,5319,2428,886,4332,3593,1740,319,712,0,0,0,0,0,0
139,851,3649,2380,422,4536,2358,2980,5575,2524,935,4449,3642,1779,327,730,0,0,0,0,0,0
143,886,3743,2398,433,4564,2374,2980,5590,2551,936,4483,3665,1778,330,724,0,0,0,0,0,0
143,836,3620,2345,410,4420,2326,2885,5404,2414,901,4384,3586,1738,303,710,0,0,0,0,0,0
124,749,3347,2241,390,4125,2189,2649,4978,2201,841,4146,3471,1657,279,691,0,0,0,0,0,0
107,658,2991,2107,346,3812,2011,2358,4458,1937,730,3829,3312,1553,241,657,0,0,0,0,0,0
91,578,2727,1976,325,3520,1855,2096,4033,1706,661,3581,3180,1471,205,627,0,0,0,0,0,0
88,533,2614,1942,306,3426,1804,2007,3884,1618,633,3487,3125,1439,197,618,0,0,0,0,0,0
84,522,2569,1920,307,3379,1794,1974,3822,1602,628,3458,3089,1426,195,612,0,0,0,0,0,0
84,517,2556,1913,302,3369,1789,1957,3799,1589,624,3443,3087,1424,194,614,0,0,0,0,0,0
84,518,2557,1916,302,3366,1796,1957,3802,1592,623,3451,3090,1425,195,616,0,0,0,0,0,0
86,528,2584,1930,306,3386,1809,1975,3835,1619,638,3477,3114,1435,199,622,0,0,0,0,0,0
90,557,2671,1969,318,3468,1854,2038,3946,1690,650,3556,3172,1462,209,629,0,0,0,0,0,0
97,611,2875,2048,332,3645,1961,2211,4235,1851,708,3739,3256,1525,232,649,0,0,0,0,0,0
102,670,2992,2141,349,3759,2021,2326,4415,1964,752,3884,3350,1565,250,671,0,0,0,0,0,0
107,690,3087,2147,363,3815,2057,2373,4553,2022,772,3956,3380,1598,258,671,0,0,0,0,0,0
119,701,3099,2147,364,3892,2055,2411,4674,2070,779,4011,3425,1596,268,677,0,0,0,0,0,0
